msk.id,Valerate,Hexanoate,Isobutyrate,Isovalerate,2-Methylbutyrate,5-Aminovalerate,Glycine,Alanine,Proline,Valine,Threonine,Cysteine,Leucine,Isoleucine,Aspartate,Lysine,Glutamate,Methionine,Phenylalanine,Tryptophan,Tyramine,Benzoate,Phenylacetate,Palmitate
MSK.17.65,0.07257292,-0.871505546,0.807487041,2.835897716,4.103628159,-0.97088068,0.337843979,0.381735684,0.540093369,0.346349324,-0.593410965,-0.355721879,0.348781468,0.335316968,-3.28996926,-0.179346535,-0.53334512,-0.06351753,0.193673717,-0.799083541,-0.124501991,0.469121263,0.234567894,0.282623373
MSK.17.73,-0.342517862,-0.15905608,0.682142872,2.699717959,4.047617836,-0.536629704,0.34015277,0.360860579,0.618716776,0.420814873,-0.634785372,-0.321016434,0.297741927,0.359699234,-3.5997146,-0.186439401,-0.725089513,-0.064484686,0.24149007,-0.790658543,-0.104056424,0.296640038,0.300604076,0.382874978
MSK.19.45,-0.342517862,-1.032616302,1.707023438,4.885144371,6.20571879,-0.97088068,0.585300388,0.593759901,1.065577344,0.71564055,-0.43314569,-0.156670339,0.591139526,0.606809292,-4.818129354,0.01645221,-0.517246588,0.139789801,0.468812586,-0.740901402,-0.075629574,0.792741642,0,0.596173511
MSK.19.56,-0.342517862,-2.098438982,0.948983499,3.904122592,5.175022658,-0.97088068,0.548465448,0.529361569,0.828876304,0.554449597,-0.392950509,-0.305002809,0.510017964,0.520302595,-3.402961883,0.08835633,-0.749862867,0.117245526,0.404875462,-0.709998966,0.05278521,0.396723649,0.228375166,0.214214673
MSK.20.28,-0.342517862,-0.923349624,1.468898604,4.52618317,5.961362596,-0.97088068,0.711910269,0.683037627,1.149926445,0.755648103,-0.034659293,-0.354825402,0.640568399,0.70177753,-3.812565435,0.248369643,-0.00889818,0.346909021,0.59623643,-0.616382609,0.058704084,0.393353803,0.374952333,0.579673701
MSK.23.53,0.173486737,-1.3001682,1.910259108,5.077567257,6.591480915,-0.97088068,0.883836188,0.785038361,1.483787502,0.935643038,0.039982616,-0.325762345,0.809658173,0.882163947,-4.839334017,0.36208549,0.156965724,0.526852215,0.71609012,-0.274872962,0.00038049,0.890777063,0.465476659,0.672167191
MSK.6.33,-0.342517862,-0.790574796,1.192370357,4.180979047,5.615511886,-0.524951799,0.558516183,0.528637035,0.855283534,0.647756394,-0.250547957,-0.381839246,0.539154994,0.626180177,-5.161646365,0.120680951,-0.361758141,0.221871388,0.508435667,-0.561826487,-0.055970851,0.714007416,0.488253894,0.462870767
MSK.7.15,-0.342517862,-0.504028901,1.355701953,4.29207342,5.707256965,-0.97088068,0.853136066,0.753554087,1.419615276,0.848057553,0.058064729,0.186426845,0.743447965,0.824725965,-2.144741546,0.385144778,0.135718852,0.433113087,0.619221786,-0.3917853,0.003483647,0.577708753,0,0.195660558
MSK.9.20,-0.342517862,-0.493198302,1.021362368,3.694896242,5.127362725,-0.301305544,0.790780429,0.745291506,1.176378921,0.737701202,-0.073106793,0.182370345,0.663021221,0.75317361,-1.034262655,0.237729641,0.037920535,0.36990343,0.55711834,-0.204345429,-0.137384575,0.452953326,0,0.513641856
MSK.9.7,-0.871683047,-0.76538895,1.440120013,4.406272406,5.798778678,0.295809992,0.242857276,0.400315792,0.858567398,0.341279771,0.164556169,-1.650447286,0.119858194,0.242192241,-4.978026105,0.073051836,-0.08389512,-0.027023343,0.096547064,0.100187283,-0.137812751,0.093084697,0.593530249,0.114621275
MSK.10.30,-0.721995533,-1.02419115,-0.18074216,0.222941418,0.378488092,1.491152895,0.384563956,0.124446001,0.510062031,-0.15616465,0.748682527,0.683169925,-0.256221013,-0.168483927,1.107480833,-0.040167905,1.065308271,-0.024090074,0.034343977,0.875708112,-0.733391303,0.564590378,0.197597185,0.112041326
MSK.21.28,-0.863361535,-0.882714268,-0.499481446,-0.174809354,-0.831004316,-0.455830726,-0.024230677,-0.112119714,-0.037008474,-0.107739556,-0.125499663,-0.167866822,-0.095842415,-0.114593878,-0.281229809,-0.195790298,-0.137471141,-0.19345361,-0.14318252,-0.154547953,-0.125260399,-0.083221239,-0.365840751,-0.180861445
MSK.21.61,-0.205828545,-0.389793739,-0.033946288,0.190486003,0.41913182,0.085985966,0.394180298,0.134453704,0.337282916,0.085521621,0.346989504,-0.128016834,0.10091424,0.114078144,0.297481792,0.156397066,0.23287866,0.116249795,0.330064997,0.791404682,0.007376569,0.185487657,-0.271915448,0.054575327
MSK.21.66,-0.807858843,-0.852121452,-0.266361129,0.305971749,-0.524946514,0.435818306,0.382629795,0.195951709,0.712254491,0.188375142,0.483469098,0.489599836,-0.069563637,0.154617257,0.652118722,0.594872979,0.595660069,0.581460857,-0.26202326,0.571950623,-0.26082191,1.391826586,0.143065544,0.64281833
MSK.21.95,-0.961053833,-0.951374756,-0.136970709,0.976230775,1.743337547,0.407419759,0.451169093,0.344359205,0.905523865,-0.507877865,0.919661558,0.844345528,-0.854883148,-0.504578092,1.458043207,0.260686639,1.358122062,0.315814634,0.30409337,0.797804432,-0.30265064,1.377360139,0.197201289,0.402827757
MSK.21.44,-0.668089872,-0.807971106,-0.32924451,0.493545554,0.30650717,0.685199412,1.17101558,0.455217626,1.040177472,0.503339552,0.245329735,0.410731506,0.372990044,0.521475659,0.34380788,0.203351742,0.345577433,0.19044843,0.579810692,0.470017439,-0.334347106,0.76871411,0.212798905,0.3127395
